,abbreviation,meaning
2578,MCD,multiple carboxylase deficiency
2579,MCF,middle cranial fossa
2580,mcg,microgram
2581,MCH,mean corpuscular hemoglobin
2582,MCh,Master of Surgery (magister chirurgiae)
2583,MCHB,Maternal and Child Health Bureau
2584,MCHC,mean corpuscular hemoglobin concentration
2585,MCI,mild cognitive impairment
2586,mCi,millicurie
2587,MCL,mid-clavicular line
2588,MCM,medical countermeasure
2589,MCO,managed care organization
2590,MCP,metacarpal phalangeal
2591,MCPJ,metacarpophalangeal joint
2592,MCQ,multiple-choice question
2593,MCV,meningococcal vaccine
2594,MD,muscular dystrophy
2595,MDA,medical device alert
2596,MDD,maximum daily dose
2597,MDE,major depressive episode
2598,MDI,metered dose inhaler
2599,MDR,multi-drug resistant
2600,MDR TB,multi-drug resistant tuberculosis
2601,MDS,Master of Dental Surgery
2602,MDT,multidisciplinary team
2603,MDU,Medical Defence Union
2604,ME,medical examiner
2605,ME ratio,myeloid/erythroid ratio
2606,MEA,multiple endocrine adenomatosis
2607,med,medical
2608,MED,minimum effective dose
2609,med neb,medication nebulizer
2610,meds,medicines
2611,MEFR,maximum expiratory flow rate
2612,MEG,magnetoencephalography
2613,MELD,model for end-stage liver disease
2614,mem,member
2615,MEN,multiple endocrine neoplasia
2616,MEO,most efficient organization
2617,mEq,milliequivalent
2618,mEq/L,milliequivalent per liter
2619,MERT,medical emergency response team
2620,MET,metabolic ratio equivalent
2621,Met,methionine
2622,metab,"metabolic, metabolism"
2623,mets,metastasis
2624,MF,mid forceps
2625,MFC,medial femoral condyle
2626,MFFD,medically fit for discharge
2627,MFM,maternal fetal medicine
2628,mfr,manufacturer
2629,mg,milligram (one thousandth of a gram)
2630,Mg,Magnesium (element)
2631,MG,myasthenia gravis
2632,mg/dl,milligrams per deciliter
2633,mgA,antibody (allergy testing)
2634,MGF,maternal grandfather
2635,MGL,IgM phospholipid unit
2636,MGM,maternal grandmother
2637,MgSO4,magnesium sulfate
2638,MH,mental health
2639,MHC,Mental Health Center
2640,MHE,mental health evaluator
2641,MHI,mild head injury
2642,MHR,maternal heart rate
2643,MHT,menopause hormone therapy
2644,MHU,mental health unit
2645,mHz,megahertz (1 million hertz)
2646,MI,mental illness
2647,MI-CD,mentally ill and chemically dependent
2648,MI-D,mentally ill and dangerous
2649,MIC,methyl isocyanate
2650,microg,microgram
2651,microIU,micro-international unit
2652,MICU,medical intensive care unit
2653,MID,multi-infarct dementia
2654,mid,middle
2655,MIF,melanocyte-inhibiting factor
2656,Min,minute
2657,MIP,Managed Indemnity Program/Plan
2658,MIS,management information system/service
2659,misc,miscellaneous
2660,mist.,a mixture
2661,mIU,milli-international unit
2662,MIVA,monitored intravenous anesthesia
2663,mJ,millijoule
2664,ML,midline
2665,ml,milliliter (0.001 L)
2666,MLBW,moderate to low birthweight
2667,MLC,midline catheter
2668,MLD,median lethal dose
2669,MLE,midline episiotomy
2670,MLF,medial longitudinal fasciculus
2671,MLPA,multiplex ligation dependent probe amplification
2672,MLT,medical laboratory technician
2673,MM,malignant melanoma
2674,mM,millimole
2675,mm,millimeter (0.001 m)
2676,mm3,cubic millimeter
2677,MMA,methylmalonic acid
2678,MMEFR,maximal mid-expiratory flow rate
2679,MMF,maxillomandibular fixation
2680,MMFR,maximum mid-expiratory flow rate
2681,mmHg,millimeter of mercury
2682,MMI,methimazole
2683,mmol,millimole (1/1000th of a mole)
2684,mMol,millimole
2685,MMPI,Minnesota Multiphasic Personality Inventory
2686,MMR,(DNA) mismatch repair
2687,MMSE,mini mental state examination
2688,MMT,manual muscle test
2689,Mn,Manganese (element)
2690,MN,Master of Nursing
2691,MND,motor neuron disease
2692,MNT,medical nutrition therapy
2693,mo,month
2694,Mo,Molybdenum (element)
2695,MO,medical officer
2696,MOA,memorandum of agreement
2697,MOAB,monoclonal antibodies
2698,MoCA,Montreal Cognitive Assessment
2699,MODS,multiple organ dysfunction syndrome
2700,MODY,maturity-onset diabetes of the young
2701,MOI,mechanism of injury
2702,mol,mole
2703,mol wt,molecular weight
2704,MOM,milk of magnesia
2705,MONA,"morphine, oxygen, nitrates, aspirin"
2706,mono,monocyte
2707,mor. dict.,as directed
2708,mor. sol.,as accustomed
2709,mOs,milliosmole
2710,mOsm,milliosmole
2711,MOU,memorandum of understanding
2712,mp,as directed (modo praescripto)
2713,MP,midplane
2714,MP MIA,microlatex particle mediated immunoassay
2715,MPAP,mean pulmonary artery pressure
2716,MPB,multipodus boot
2717,MPC,maximum permitted concentration
2718,MPD,myeloproliferative disorders
2719,MPH,miles per hour
2720,MPJ,metacarpophalangeal joint
2721,MPN,most probable number
2722,MPS,mucopolysaccharidosis
2723,MPV,mean platelet volume
2724,mr,milliroentgen
2725,MR,magnetic resonance
2726,MRA,magnetic resonance angiography
2727,Mrad,megarad
2728,mrad,millirad
2729,MRC,medical research council
2730,MRCP,magnetic resonance cholangiopancreatography
2731,mrem,millirem
2732,MRF,melanocyte-stimulating hormone-releasing factor
2733,MRG,murmur rub gallop
2734,MRgFUS,MR-guided focused ultrasound surgery
2735,mRNA,messenger RNA
2736,MRS,magnetic resonance spectroscopy
2737,MRSA,methicillin-resistant staphylococcus aureus
2738,MRSE,methicillin-resistant staphylococcus epidermidis
2739,MS,morphine sulfate
2740,mS,millisecond
2741,MSA,multiple system atrophy
2742,MSAFP,maternal serum alpha-fetoprotein
2743,MSDS,material safety data sheet
2744,MSE,mental status examination
2745,MSF,meconium stained fluid
2746,MSG,monosodium glutamate
2747,MSH,melanocyte-stimulating hormone
2748,MSI,magnetic source imaging
2749,MSk,musculoskeletal
2750,MSL,midsternal line
2751,MSN,Master of Science in Nursing
2752,MSOF,multi system organ failure
2753,MSR,motor sensory reflex
2754,MST,multi-systemic therapy
2755,MSU,midstream specimen of urine
2756,MSW,Master of Social Work
2757,MT,medical technologist
2758,MTB,mycobacterium tuberculosis
2759,MTBI,mild traumatic brain injury
2760,MTC,medullary thyroid cancer
2761,MTD,maximum tolerated dose
2762,mthy,monthly
2763,MTP,metatarsal phalangeal
2764,MTPJ,metatarsophalangeal joint
2765,MTX,methotrexate
2766,mU,milliunit
2767,MUA,medically underserved areas
2768,MUD,matched unrelated donor
2769,MUFA,monounsaturated fatty acids
2770,MUGA,multiple gated acquisition
2771,mult,multiple
2772,MUS,medically unexplained symptoms
2773,musc,muscle
2774,MUT,Methylmalonyl-CoA mutase deficiency
2775,mV,millivolt
2776,MV,mitral valve
2777,mv.,movement
2778,MVA,motor vehicle accident
2779,MVC,motor vehicle collision
2780,MVI,multivitamin (injection)
2781,MVO2,myocardial oxygen consumption
2782,MVP,mitral valve prolapse
2783,MVR,mitral valve repair/replacement/regurgitation
2784,MVS,mitral valve stenosis
2785,MVV,maximum voluntary ventilation
2786,MW,molecular weight
2787,mx.,maxillary
2788,MxT,myringotomy and tubes
2789,My,myopia
2790,N,normal
2791,n,nerve
2792,N&V,nausea and vomiting
2793,n.b.,note well
2794,n.p.o.,nothing by mouth (nil per os)
2795,n.r.,do not repeat
2796,,not applicable
2797,N/C,nasal cannula
2798,N/V,nausea/vomiting
2799,N/V/D,"nausea, vomiting, diarrhea"
2800,,Nursing Assistant
2801,Na,Sodium (element)
2802,NAA,nucleic acid amplification
2803,NABS,normal active bowel sounds
2804,NaCl,Sodium Chloride
2805,NAD,no apparent distress
2806,NAF,notice of adverse findings
2807,NAFLD,non-alcoholic fatty liver disease
2808,NAI,no action indicated
2809,NaOH,sodium hydroxide
2810,NASH,non-alcoholic steatohepatitis
2811,NAT,non-accidental trauma
2812,NB,newborn
2813,Nb,Niobium (element)
2814,NBHS,newborn hearing screen
2815,NBN,newborn
2816,NBRT,National Board for Respiratory Therapy
2817,NBTNF/M,"newborn, term, normal, female/male"
2818,NC,nasal cannula
2819,NCAT,"normocephalic, atraumatic"
2820,NCHS,National Center for Health Statistics
2821,NCI,National Cancer Institute
2822,nCi,nanocurie
2823,NCP,nursing care plan
2824,NCPAP,nasal continuous positive airway pressure
2825,NCS,nerve conduction study
2826,ND,not diagnosed
2827,Nd,Neodymium (element)
2828,NDA,non-disclosure agreement
2829,NDC,national drug code
2830,NDF,no disease found
2831,nDNA,native DNA
2832,NDT,neurodevelopmental treatment
2833,NE,not evaluated/not examined
2834,Ne,Neon (element)
2835,neb,nebulizer
2836,NEC,necrotizing enterocolitis
2837,NED,no evidence of disease
2838,neg,negative
2839,NEL,non-elective
2840,nerv,nervous
2841,Neuro,neurology
2842,Neut,neutrophil
2843,NF,national formulary
2844,NF1,neurofibromatosis type 1
2845,NFA,nursing facility administrator
2846,NFP,natural family planning
2847,NFTD,normal full term delivery
2848,ng,nasogastric
2849,NGF,nerve growth factor
2850,NGR,nasogastric replacement
2851,NGS,next generation sequencing
2852,NGT,nasogastric tube
2853,NGTD,no growth to date (culture status)
2854,NGU,nongonococcal urethritis
2855,NH,nursing home
2856,NH3,Ammonia
2857,NHC,National Health Council
2858,NHIC,National Health Information Center
2859,NHL,non-Hodgkin's lymphoma
2860,NHP,nursing home placement
2861,NHS,National Health Service
2862,NI,not indicated
2863,Ni,Nickel (element)
2864,NIBP,non-invasive blood pressure
2865,NICE,National Institute for Health and Care Excellence
2866,NICMP,nonischemic cardiomyopathy
2867,NICU,neonatal intensive care unit
2868,NIDDM,non-insulin-dependent diabetes mellitus
2869,NIF,negative inspiratory force
2870,NIH,National Institutes of Health
2871,NIHSS,National Institutes of Health Stroke Scale
2872,NIL,negative intraepithelial lesion
2873,NIMH,National Institute of Mental Health
2874,NINR,National Institute of Nursing Research
2875,NIOSH,National Institute for Occupational Safety and Health
2876,NIPVL,non-invasive peripheral vascular laboratory
2877,NIV,non-invasive ventilation
2878,NK,not known
2879,NKA,no known allergies
2880,NKDA,no known drug allergies
2881,NKFA,no known food allergies
2882,NKHG,nonketotic hyperglycinemia
2883,NL,normal
2884,nL,nanoliter (billionth of a liter)
2885,NLN,National League for Nursing
2886,NLT,not less than
2887,NM,non monitored
2888,nm,nanometer (billionth of a meter)
2889,NMDA,N-methyl D-aspartate
2890,NMJ,neuromuscular junction
2891,nmol,nanomole
2892,NMR,nuclear magnetic resonance
2893,NMS,neuroleptic malignant syndrome
2894,NMT,not more than
2895,nn,nerves
2896,NNRTI,non-nucleoside reverse transcriptase inhibitor
2897,NNU,neonatal unit
2898,no,number
2899,NO,nitric oxide
2900,NO2,nitrous oxide
2901,noct,"nocturnal, night"
2902,noct.,in the night (nocte)
2903,NOE,naso-orbito-ethmoid
2904,NOI,nature of illness
2905,non rep,do not repeat
2906,Norm,normal
2907,NOS,not otherwise specified
2908,NP,neuropsychiatric
2909,NP-CPAP,nasopharyngeal continuous positive airway pressure
2910,NPA,nasopharyngeal airway
2911,NPC,non-protein calories
2912,NPH,neutral protamine Hagedorn
2913,NPN,nonprotein nitrogen
2914,NPO,nothing by mouth (nil per os)
2915,NPPV,noninvasive positive pressure ventilation
2916,NPT,nocturnal penile tumescence
2917,NPWT,negative pressure wound therapy
2918,NQMI,non-Q wave myocardial infarction
2919,NR,normal record
2920,NRC,national research council
2921,NRDS,neonatal respiratory distress syndrome
2922,NREM,non-rapid eye movement
2923,NRM,non-rebreathing mask
2924,NRT,nicotine replacement therapy
2925,NRTI,nucleoside reverse transcriptase inhibitors
2926,NS,nervous system
2927,ns,nanosecond
2928,NSA,no significant abnormality
2929,NSAID,nonsteroidal anti-inflammatory drug
2930,NSC,national safety council
2931,NSCLC,non-small cell lung cancer
2932,NSD,normal spontaneous (full term) delivery
2933,nsec,nanosecond
2934,Nsg,nursing
2935,NSI,nasal saline irrigations
2936,NSICU,neurosciences intensive care unit
2937,NSR,normal sinus rhythm
2938,NSS,normal saline solution
2939,NSSP,"normal size, shape, position"
2940,NST,non-stress test
2941,NSTEMI,non-ST elevation myocardial infarction
2942,NSU,nonspecific urethritis
2943,NSV,non-specific vaginitis
2944,NSVD,normal spontaneous vaginal delivery
2945,NT,nuchal translucency
2946,NT/ND,non-tender/non-distended
2947,NTB,neuropsychological test battery
2948,NTD,neural tube defect
2949,NTG,nitroglycerin
2950,NTM,non-tuberculosis mycobacteria
2951,NTT,nasotracheal tube
2952,NUG,necrotizing ulcerative gingivitis
2953,nullip,nullipara
2954,NUP,necrotizing ulcerative periodontitis
2955,nutr,nutrition
2956,NV,nausea and vomiting
2957,nv,near vision
2958,NVA,neurovascular assessment
2959,NVD,"nausea, vomiting, diarrhea"
2960,NVS,neurological vital signs
2961,NVT,neurovascular and tendon
2962,NWB,non weight bearing
2963,NYD,not yet diagnosed
2964,O,oral
2965,O&E,observation and examination
2966,O&G,obstetrics and gynecology
2967,O&P,ova and parasites
2968,O-A,occipital-atlas
2969,o.d.,once daily (omni die)
2970,O.D.,right eye (oculus dexter)
2971,o.h.,every hour (omni hora)
2972,o.m.,every morning (omni mane)
2973,o.n.,every night (omni nocte)
2974,O.S.,left eye (oculus sinister)
2975,O/E,on examination
2976,O/R,"oral, rectal"
2977,O2,oxygen
2978,O2Sat,Oxygen saturation (percent)
2979,O3,ozone
2980,o:,objective
2981,OA,osteoarthritis
2982,OAE,oto acoustic emissions
2983,OB,obstetrics
2984,OB+,occult blood positive
2985,OB-Gyn,obstetrics and gynecology
2986,OB/GYN,obstetrics/gynecology
2987,OBS,organic brain syndrome
2988,OBS/OBD,organic brain syndrome/organic brain disorder
2989,obsd,observed
2990,obst,"obstruct, obstruction"
2991,OBT,over-bed table
2992,OBUS,obstetrical ultrasound
2993,OC,oral contraceptive
2994,occ,occasional
2995,OCD,obsessive compulsive disorder
2996,OCG,oral cholecystogram
2997,OCL,orthopedic cast for limb
2998,OCP,oral contraceptive pills
2999,OCR,ossicular chain reconstruction
3000,OCT,oxytocin challenge test
3001,OD,overdose
3002,od,every day (omnes dies)
3003,ODD,oppositional defiant disorder
3004,ODT,orally disintegrating tablet
3005,OE,otitis externa
3006,OFC,occipital-frontal circumference
3007,OFTT,organic failure to thrive
3008,OG,orogastric
3009,OGD,oesophagogastroduodenoscopy
3010,OGT,oral glucose tolerance (test)
3011,OGTT,oral glucose tolerance test
3012,OH,oral hygiene
3013,OH-,hydroxyl ion
3014,OI,opportunistic infection
3015,OIC,opioid-induced constipation
3016,oint,ointment
3017,OL,left eye (oculus laevus)
3018,ol.,oil
3019,OLMC,on-line medical control
3020,OM,osteomalacia
3021,OMB,operational management board
3022,OMD,organic mental disorders
3023,OME,otitis media with effusion
3024,OMFS,oral and maxillofacial surgery
3025,OMH,office for migrant health
3026,omn. hor.,every hour
3027,omn. noct.,every night
3028,OmPC,outer membrane protein complex
3029,ONS,oncology nursing society
3030,OoA,Office on Aging
3031,OOB,out of bed
3032,OOH,out of hospital
3033,OOR,out of room
3034,OOT,out of town
3035,OP,outpatient
3036,OPA,oropharyngeal airway
3037,OPCAB,off-pump coronary artery bypass surgery
3038,OPD,outpatient department
3039,OPER,outpatient with extended recovery
3040,OPG,oculoplethysmography
3041,Oph,ophthalmology
3042,OPHEP,Office of Public Health Emergency Preparedness (HHS)
3043,OPHS,office of public health and science
3044,Ophth,ophthalmology
3045,OPMS,oropharyngeal motility study
3046,opp,opposite
3047,OPQRST,"onset, provocation, quality, radiation, severity, time"
3048,OPROC,outpatient procedure
3049,OPT,outpatient
3050,opt,optimal
3051,OPV,oral polio vaccine
3052,OR,operating room
3053,org,organization
3054,ORIF,open reduction and internal fixation
3055,ORL,otorhinolaryngology
3056,ORM,operational risk management
3057,ORR,objective response rate
3058,ORS,oral rehydration solution
3059,Orth,orthopedics
3060,Ortho,orthopedics
3061,OS,left eye (oculus sinister)
3062,os,mouth
3063,Os,Osmium (element)
3064,OSA,obstructive sleep apnea
3065,OSCE,objective structured clinical examination
3066,OSD,over bed side drainage
3067,OSHA,Occupational Safety and Health Administration
3068,OSHC,Office of Science and Health Coordination (OC)
3069,OSR,open septo-rhinoplasty
3070,osteo,osteo myelitis
3071,OT,occupational therapy
3072,OTC,over the counter
3073,OTFC,oral transmucosal fentanyl citrate
3074,oto,otoscope
3075,OTR,registered occupational therapist
3076,OU,both eyes (oculi unitas)
3077,OV,office visit
3078,OXT,oxytocin
3079,oz,ounce
3080,P,Phosphorus (element)
3081,p,melting point
3082,P&A,percussion and auscultation
3083,P&P,pins and plaster
3084,P&R,pulse and respiration
3085,P&T,peak and trough
3086,P-A,posteroanterior
3087,P-ANCA,perinuclear antineutrophil cytoplasmic antibody
3088,p.c.,after meals (post cibos)
3089,P/A,posterior/anterior
3090,P/U,pick up
3091,P2,pulmonic second sound
3092,P4P,pay for performance
3093,p:,plan
3094,p=r,pupils equal and reactive
3095,PA,posteroanterior
3096,pa,placenta abruption
3097,Pa,Pascal
3098,PA-C,Certified Physician Assistant
3099,PAB,professional advisory board
3100,PABA,para-aminobenzoic acid (vitamin B10)
3101,PAC,premature atrial contraction
3102,Paco2,partial pressure of carbon dioxide in alveolar gas
3103,PACU,post anesthesia care unit
3104,PAD,pharmacologically active drug
3105,PADP,pulmonary artery diastolic pressure
3106,PADS,preventive aggression device system
3107,PAF,paroxysmal atrial fibrillation
3108,PAH,para-aminohippurate
3109,PAL,peripheral arterial line
3110,palp,palpable
3111,PALS,pediatric advanced life support
3112,PAN,panoramic
3113,PAO2,alveolar oxygen partial pressure [case sensitive]
3114,PaO2,arterial oxygen partial pressure [case sensitive]
3115,PAOP,pulmonary artery occlusion pressure
3116,PAP,pulmonary artery pressure
3117,Pap,Papanicolaou smear
3118,Pap test,Papanicolaou test (smear)
3119,Pap.,papillary
3120,PAR,paraffin
3121,para,woman who has given birth
3122,PARR,post anesthesia recovery (room)
3123,part. vic.,in divided doses (partitis vicibus)
3124,PAS,para amino-salicylic acid
3125,PASA,para-aminosalicylic acid
3126,PASG,pneumatic anti-shock garments
3127,PASP,pulmonary artery systolic pressure
3128,pat,paroxysmal atrial tachycardia
3129,PAT,preadmission testing
3130,path,pathologist
3131,pathol,pathological
3132,PAWP,pulmonary artery wedge pressure
3133,PB,pudendal block or peripheral blood
3134,pb,piggyback
3135,Pb,Lead (element)
3136,PBA,pseudobulbar affect
3137,PBC,primary biliary cholangitis
3138,PBF,partially breastfed
3139,PBI,protein-bound iodine
3140,PBL,problem-based learning
3141,PBM,pharmacy benefits management
3142,PBMC,peripheral blood mononuclear cell
3143,PBPC,peripheral blood progenitor cell
3144,PBSC,peripheral blood stem cell
3145,PBSCT,peripheral blood stem cell transplantation
3146,PC,pyruvate carboxylase
3147,pc,after meals (post cibos)
3148,PCA,patient care assistant
3149,PCC,Poison Control Center
3150,PCCR,post cardiac cath recovery
3151,PCCU,post cardiac cath unit
3152,PCD,pacing cardioverter/defibrillator
3153,PCH,personal care home
3154,PChE,pseudocholinesterase
3155,pCi,picocurie
3156,PCI,percutaneous coronary intervention
3157,PCKD,polycystic kidney disease
3158,PCL,polycaprolactone
3159,PCM,protein-calorie malnutrition
3160,PCN,penicillin
3161,PCO,primary care organization
3162,PCO2,carbon dioxide pressure
3163,PCOS,polycystic ovary syndrome
3164,PCP,primary care physician
3165,PCR,protein catabolic rate
3166,PCRA,patient controlled regional analgesia
3167,PCS,procedure coding system
3168,pct,percent
3169,PCT,proximal convoluted tubule
3170,PCTA,percutaneous transluminal angioplasty
3171,PCU,Progressive Care Unit
3172,PCV,pneumococcal vaccine
3173,PCWP,pulmonary capillary wedge pressure
3174,pd,pupillary distance
3175,PD,pulmonary disease
3176,Pd,Palladium (element)
3177,PD&P,postural drainage and percussion
3178,PDA,posterior descending artery
3179,PDD,pervasive development disorder
3180,PDD-NOS,pervasive developmental disorder not otherwise specified
3181,PDE,permitted daily exposure
3182,PDF,portable document format
3183,PDGF,platelet-derived growth factor
3184,PDIS,patient discharge instruction sheet
3185,PDR,Physicians' Desk Reference
3186,PDT,photodynamic therapy
3187,PE,pulmonary embolism
3188,PE tubes,polyethylene tubes
3189,PEA,pulseless electrical activity
3190,PED,pediatrician
3191,Peds,pediatrics
3192,PEEP,positive end expiratory pressure
3193,PEFR,peak expiratory flow rate
3194,PEG,percutaneous endoscopic gastrostomy
3195,PEG INF,pegylated interferon
3196,PEJ,percutaneous endoscopic jejunostomy
3197,PEM,protein energy malnutrition
3198,PEMF,pulsing electromagnetic field
3199,pen,penicillin
3200,PEP,post-exposure prophylaxis
3201,per,period(ic)
3202,perf,perforation
3203,PERL,pupils equal and react to light
3204,perm,permanent
3205,peron,peroneal
3206,PERRL,pupils equally round and react to light
3207,PERRLA,pupils equally round and react to light and accommodation
3208,PERRLA+C,"pupils equal, round, react to light, accommodation ok, and coordinated"
3209,PET,polyethylene terephthalate
3210,PetCO2,partial pressure of end-tidal carbon dioxide
3211,PF,plantar flexion
3212,PFC,persistent fetal circulation
3213,PFD,personal flotation device (life jacket)
3214,PFO,patent foramen ovale
3215,PFP,pay for performance
3216,PFT,pulmonary function test
3217,PFTs,pulmonary function tests
3218,PG,phosphatidylglycerol
3219,pg,picogram (one trillionth of a gram)
3220,PGA,pteroylglutamic acid
3221,PGF,paternal grandfather
3222,PGL,persistent generalized lymphadenopathy
3223,PGM,paternal grandmother
3224,PGR,psychogalvanic reaction
3225,PGY,postgraduate year
3226,PH,public health
3227,pH,hydrogen ion concentration (measure of acidity/alkalinity)
3228,PHA,public health advisory
3229,Phar.,pharmacy
3230,pharm,pharmacy
3231,PharmD,Doctor of Pharmacy
3232,PHB,personal health budget
3233,PhD,Doctor of Philosophy
3234,Phe,phenylalanine
3235,PHI,protected health information
3236,PHN,public health nurse
3237,phni,pinhole no improvement
3238,PHO,Physician Hospital Organization
3239,phos,phosphate
3240,PHP,partial hospitalization program
3241,PHR,personal health record
3242,PHS,Public Health Service
3243,PHT,public health technician
3244,PI,principal investigator
3245,PIA,prolonged infantile apnea
3246,PIC,peripheral intravenous catheter
3247,PICC,peripherally inserted central catheter
3248,PICU,pediatric intensive care unit
3249,PID,pelvic inflammatory disease
3250,PIE,"plan, intervention, evaluation"
3251,PIF,prolactin release-inhibiting factor
3252,PIG,pigtail catheter
3253,pIgR,polymeric immunoglobulin receptor
3254,PIH,pregnancy-induced hypertension
3255,PII,personally identifiable information
3256,pil,pill (pilula)
3257,pil.,pill
3258,PIN,prostatic intraepithelial neoplasia
3259,PIP,peak inspiratory pressure
3260,PIPJ,proximal interphalangeal joint
3261,PIPOT,persons in positions of trust
3262,PIT,Pitocin
3263,PIV,peripheral intravenous
3264,PJC,premature junctional contraction
3265,PJP,Pneumocystis jiroveci pneumonia
3266,PK test,Prausnitz-kustner test
3267,PKC,protein kinase C
3268,PKD,polycystic kidney disease
3269,PKR,partial knee replacement
3270,pks,packs
3271,PKU,phenylketonuria
3272,PL,palmaris longus
3273,PLACE,patient-led assessments of the care environment
3274,plats,platelet
3275,PLCV,procedures of limited clinical value
3276,PLIF,posterior lumbar interbody fusion
3277,PLL,postero-lateral left
3278,PLSS,portable life-support system
3279,plt,platelet
3280,Pm,Promethium (element)
3281,pM,picomolar
3282,PM,afternoon/evening (post meridian)
3283,PM&R,physical medicine and rehabilitation
3284,PMD,private medical doctor
3285,PMDD,premenstrual dysphoric disorder
3286,PMFSH,"past medical, family, social history"
3287,PMH,past medical history
3288,PMHx,past medical history
3289,PMI,point of maximum impulse
3290,PML,progressive multifocal leukoencephalopathy
3291,PMN,polymorphonuclear neutrophil leukocytes
3292,PMNL,polymorphonuclear leukocyte
3293,pmol,picomole (one trillionth of a mole)
3294,pmol/L,picomoles per liter
3295,PMP,previous menstrual period
3296,PMR,polymyalgia rheumatica
3297,PMS,premenstrual syndrome
3298,PMT,premenstrual tension
3299,PMU,pain management unit
3300,PN,psychoneurotic
3301,PNA,pneumonia
3302,PNB,premature nodal beats
3303,PNC,prenatal care
3304,PNC-E,post-necrotic cirrhosis-ethanol
3305,PND,paroxysmal nocturnal dyspnea
3306,PNF,proprioceptive neuromuscular facilitation
3307,PNH,paroxysmal nocturnal hemoglobinuria
3308,PNI,peripheral nerve injury
3309,PNP,Pediatric Nurse Practitioner
3310,PNS,peripheral nervous system
3311,PNV,prenatal vitamins
3312,PNX,pneumothorax
3313,PO,phone order
3314,po,by mouth (per os)
3315,PO2,partial pressure of oxygen
3316,POA,power of attorney
3317,POAG,primary open-angle glaucoma
3318,POC,plan of care
3319,POCT,point of care testing
3320,POD,postoperative day
3321,POE,point of entry
3322,POLST,physician orders for life-sustaining therapy
3323,PONV,post-operative nausea and vomiting
3324,POPs,progestin-only contraceptive pills
3325,PORP,partial ossicular replacement prosthesis
3326,POS,problem oriented system
3327,poss,possible
3328,post,after
3329,post op,post operation
3330,post.,posterior
3331,POTx,proof of treatment
3332,POU,"placenta, ovary, uterus"
3333,PP,pulse pressure
3334,PP1,"post partum day 1, etc."
3335,PPA,phenyl pyruvic acid
3336,ppb,parts per billion
3337,PPB,positive pressure breathing
3338,PPBG,postprandial blood glucose
3339,PPBS,postprandial blood sugar
3340,PPD,packs per day
3341,PPE,personal protection equipment
3342,PPF,plasma protein fraction
3343,PPG,postprandial glucose
3344,PPH,primary pulmonary hypertension
3345,PPHN,persistent pulmonary hypertension of the newborn
3346,PPI,proton pump inhibitor
3347,PPIP,put prevention into practice
3348,PPM,planned preventive maintenance
3349,ppm,parts per million
3350,PPMA,postpoliomyelitis muscular atrophy
3351,PPN,peripheral parenteral nutrition
3352,PPO,preferred provider organization
3353,PPROM,preterm premature rupture of membranes
3354,PPS,postpartum sterilization
3355,PPT,plasma preparation tube
3356,PPTL,post-partum tubal ligation
3357,PPV,pneumococcal polysaccharide vaccine
3358,PPW,pre-pregnancy weight
3359,PQRST,provoke-quality-radiation-severity-time
3360,PR,through the rectum
3361,Pr,Praseodymium (element)
3362,PR/R,per rectum/rectal
3363,PR3,proteinase 3
3364,PRA,panel-reactive antibody
3365,PRB,performance review board
3366,PRBC,packed red blood cell(s)
3367,PRBCs,packed red blood cells
3368,PRE,progressive resistive exercise
3369,pre-op,before surgery (pre-operative)
3370,preg,"pregnancy, pregnant"
3371,PREM,patient reported experience measure
3372,prep,preparation
3373,PrEP,pre-exposure prophylaxis
3374,prev,previous
3375,PRF,prolactin-releasing factor
3376,PRH,prolactin-releasing hormone
3377,primip,primipara
3378,PRIT,posterior resection of inferior turbinates
3379,PRK,photorefractive keratectomy
3380,PRL,prolactin
3381,PRM,partial-rebreathing mask
3382,prn,as required/needed (pro re nata)
3383,PRO,peer review organization
3384,pro time,prothrombin time
3385,prob,"probable, probably"
3386,PROM,passive range of motion
3387,prox,proximal
3388,PrP,prion protein
3389,PRP,polysaccharide-ribitol-phosphate vaccine
3390,PRQM,publicly reported quality measures
3391,PRRT,pediatric rapid response team
3392,PRSP,penicillin-resistant streptococcus pneumoniae
3393,PRVC,pressure regulated volume control
3394,PS,pulmonary stenosis
3395,PSA,public service announcement
3396,PsA,psoriatic arthritis
3397,PSC,primary sclerosing cholangitis
3398,PSCT,peripheral stem cell transplant
3399,PSD,patient specific direction
3400,PSDA,patient self-determination act
3401,PSE,portal systemic encephalopathy
3402,PSF,posterior spinal fusion
3403,PSG,polysomnogram (sleep study)
3404,PSH,past surgical history
3405,psi,per square inch (pounds)
3406,PSIS,posterior-superior iliac spine
3407,PSL,peripheral saline lock
3408,PSO,patient services office
3409,PSRO,professional standards review organization
3410,PSS,physiologic saline solution
3411,PSV,peak systolic velocity
3412,PSVT,paroxysmal supraventricular tachycardia
3413,psy,"psychiatry, psychology"
3414,psych,"psychiatry, psychology"
3415,psychol,psychologist
3416,PT,prothrombin time
3417,Pt,Platinum (element)
3418,pt,pint
3419,PTA,prior to arrival
3420,PTC,points to consider
3421,PTCA,percutaneous transluminal coronary angioplasty
3422,PTE,pulmonary thromboembolism
3423,PTEM,pregnancy test education materials
3424,PTFE,polytetrafluoroethylene
3425,PTH,parathyroid hormone
3426,PTK,phototherapeutic keratectomy
3427,PTL,pre-term labor
3428,PTR,platelet transfusion reaction
